size_head_0102	00000000000000020102
size_head_empty	0000000000000000
bool8_true	01
bool8_false	00
seq_bv_2	0000000200000000000000010100000000000000020203
seq_bv_0	00000000
datums_binary_unsorted	00000002000000000000000101000000000000000102
cont_binary_unsorted	00000002000000000000000101000000000000000102
joins_binary_unsorted	00000002000000000000000101000000000000000102
joins_nested	00000002000000000000000d00000001000000000000000103000000000000001600000002000000000000000101000000000000000102
datum_1	000000010000000000000049000000000000000055555555555555555555555555555555555555555555555555555555555555555ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd80
datum_2	00000001000000000000004b00000000000000020102e6666666666666666666666666666666666666666666666666666666666666666eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeec0
cont_1	00000001000000000000005f000000010000000000000001030000000000000001040000000000000000f7777777777777777777777777777777777777777777777777777777777777777fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff80
cont_2	00000001000000000000008a000000020000000000000001030000000000000001040000000000000001058000000100010000000177777777777777777777777777777777777777777777777777777777777777776eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffc0
